order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,1,1,1,1,1,1,17,17,17
2,26,26,22,22,22,5,49,8,8,8
3,2,12,26,30,30,22,5,14,2,48
4,3,13,8,26,40,47,22,1,14,15
5,27,14,12,8,45,30,13,49,51,2
6,28,2,13,19,26,38,47,46,35,14
7,29,3,35,12,23,40,48,5,1,51
8,4,27,14,49,28,2,30,21,39,35
9,30,42,36,13,8,6,4,22,36,19
10,5,43,2,35,21,45,38,11,49,1
11,6,15,46,44,19,31,40,13,46,10
12,31,28,3,14,33,26,16,32,6,39
13,32,16,27,36,12,34,2,47,45,41
14,33,29,9,25,10,23,35,3,9,36
15,7,17,42,5,41,28,6,48,5,30
16,34,18,43,2,49,17,45,19,31,49
17,8,4,15,6,13,8,9,30,26,44
18,35,30,37,31,16,46,31,42,21,42
19,36,19,23,46,35,21,26,33,22,46
20,9,44,28,11,50,11,50,4,12,6
21,37,5,10,3,44,3,34,38,25,28
22,10,6,16,20,7,19,23,43,11,45
23,38,31,29,27,29,33,44,40,50,9
24,39,20,47,9,14,18,28,18,13,7
25,11,32,38,32,36,51,7,16,34,33
26,40,45,17,42,25,39,29,2,32,5
27,41,21,18,43,5,12,17,51,47,31
28,12,33,39,15,47,10,8,35,23,26
29,13,7,48,37,38,41,14,39,3,4
30,14,34,4,40,2,20,46,36,48,29
31,42,22,24,45,6,27,21,6,15,38
32,43,8,30,23,31,49,11,45,19,21
33,15,35,19,28,34,13,32,9,10,22
34,16,36,49,21,17,48,3,31,41,43
35,17,46,44,33,46,4,19,26,30,12
36,18,9,25,10,11,16,42,12,44,40
37,19,37,5,41,3,35,33,25,42,25
38,44,23,6,16,18,9,43,50,28,18
39,20,10,31,50,51,50,18,34,7,11
40,45,47,11,7,39,44,51,23,33,50
41,21,38,20,29,20,7,39,15,4,13
42,22,39,32,47,27,29,36,10,29,16
43,46,48,40,38,48,14,12,41,38,34
44,23,24,45,34,4,32,25,44,43,24
45,47,49,21,17,9,42,15,28,40,32
46,48,25,33,18,32,43,10,7,18,37
47,24,11,41,51,42,36,41,29,16,20
48,49,40,50,39,43,25,24,24,24,47
49,25,41,7,48,15,15,37,37,37,23
50,50,50,34,4,24,24,20,20,20,3
51,51,51,51,24,37,37,27,27,27,27
52,52,52,52,52,52,52,52,52,52,52
