order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,24,24,13,37,2,2,27,31,1,9
2,25,25,31,13,34,34,25,27,30,10
3,26,18,32,31,16,40,39,25,45,29
4,1,19,33,38,8,20,3,39,46,48
5,2,20,24,32,37,21,2,43,31,3
6,27,21,25,33,13,22,34,7,27,2
7,3,22,18,24,31,16,40,23,25,34
8,4,23,19,25,38,8,18,44,39,1
9,5,26,20,39,32,37,19,26,43,30
10,6,1,21,18,33,41,17,38,7,45
11,7,30,22,19,24,42,20,36,23,46
12,8,2,23,4,28,6,21,32,14,31
13,28,27,26,5,27,13,22,33,15,27
14,9,3,1,40,25,31,16,10,44,25
15,29,4,30,20,39,7,8,3,26,39
16,10,5,14,21,3,23,37,2,47,43
17,11,6,15,22,18,38,35,34,8,24
18,12,7,2,41,19,36,9,24,38,11
19,13,8,34,42,17,32,29,11,37,49
20,14,28,16,6,35,33,41,28,35,41
21,15,9,27,7,9,10,4,12,36,4
22,16,29,3,23,29,24,42,40,32,7
23,17,10,17,26,4,11,6,18,33,23
24,18,11,35,1,5,28,5,19,9,42
25,19,12,36,30,40,12,13,17,10,14
26,20,13,37,14,20,27,31,20,29,15
27,21,31,38,15,21,25,43,21,48,6
28,22,32,39,2,22,39,7,22,3,5
29,23,33,4,34,41,3,23,16,2,44
30,30,14,5,16,42,18,44,1,34,13
31,31,15,40,8,6,19,26,30,24,26
32,32,34,41,28,7,17,38,45,11,28
33,33,16,42,27,23,35,36,46,49,12
34,34,17,6,3,36,9,32,14,41,40
35,35,35,7,17,10,29,33,15,4,18
36,36,36,8,35,11,4,10,47,42,19
37,37,37,28,9,12,5,24,8,6,17
38,38,38,9,29,43,43,11,37,5,20
39,39,39,29,36,44,44,28,35,13,21
40,40,40,10,10,26,26,12,9,28,22
41,41,41,11,11,1,1,1,29,12,50
42,42,42,12,12,30,30,30,48,40,51
43,43,43,43,43,45,45,45,49,18,52
44,44,44,44,44,46,46,46,41,19,16
45,45,45,45,45,14,14,14,4,17,47
46,46,46,46,46,15,15,15,42,20,8
47,47,47,47,47,47,47,47,6,21,38
48,48,48,48,48,48,48,48,5,22,37
49,49,49,49,49,49,49,49,13,50,35
50,50,50,50,50,50,50,50,50,51,36
51,51,51,51,51,51,51,51,51,52,32
52,52,52,52,52,52,52,52,52,16,33
