order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,26,38,44,44,29,29,29,29,29,29
2,27,26,17,17,30,30,20,42,52,45
3,28,27,38,20,8,46,38,22,33,52
4,29,28,26,38,44,47,26,51,43,33
5,30,29,27,26,17,48,15,23,2,43
6,31,30,28,49,9,8,30,6,42,24
7,32,31,29,21,10,44,46,19,22,25
8,33,32,30,50,11,17,40,20,3,2
9,1,39,31,33,31,9,27,38,51,42
10,2,12,32,1,32,10,12,26,4,22
11,3,13,39,14,39,11,47,15,34,13
12,4,33,12,15,20,31,48,16,5,6
13,34,1,13,40,38,32,35,31,1,19
14,5,14,45,27,26,18,36,30,14,28
15,6,15,46,28,12,52,37,32,27,7
16,7,40,47,41,35,43,8,49,12,3
17,8,41,48,42,36,2,44,21,47,51
18,9,42,18,22,37,3,17,50,48,9
19,10,43,2,51,24,4,24,18,35,10
20,11,16,3,23,25,34,25,46,36,20
21,35,44,4,6,13,5,13,40,37,38
22,36,17,34,7,49,1,28,52,23,4
23,37,45,5,29,21,14,9,33,8,26
24,38,46,19,30,50,39,10,43,44,15
25,39,47,20,8,33,20,11,2,17,34
26,12,48,49,9,45,38,41,3,45,39
27,13,18,21,10,46,26,42,4,24,11
28,14,2,50,11,47,15,22,34,25,5
29,15,3,33,31,48,40,51,5,13,1
30,40,4,1,32,18,27,23,1,6,16
31,41,34,14,39,52,12,6,14,19,31
32,42,5,15,12,43,35,19,27,28,14
33,43,19,40,35,2,36,16,12,7,30
34,16,20,41,36,3,37,31,47,9,32
35,44,49,42,37,4,24,32,48,10,27
36,17,21,22,24,34,25,49,35,20,12
37,45,50,51,25,5,13,21,36,38,49
38,46,22,23,13,1,28,50,37,26,41
39,47,51,6,45,14,41,18,8,15,21
40,48,23,7,46,15,42,52,44,39,47
41,18,6,8,47,40,22,33,17,11,48
42,19,7,9,48,27,51,43,45,16,35
43,20,8,10,18,28,23,2,24,31,50
44,49,9,11,52,41,6,3,25,30,18
45,21,10,35,43,42,19,4,13,32,36
46,50,11,36,2,22,16,34,28,49,37
47,22,35,37,3,51,49,5,7,41,46
48,51,36,24,4,23,21,1,9,21,23
49,23,37,25,34,6,50,14,10,50,8
50,24,24,52,5,19,33,45,39,18,44
51,25,25,43,19,16,45,7,11,46,17
52,52,52,16,16,7,7,39,41,40,40
