order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,29,29,47,47,38,38,38,38,20,29
2,30,30,29,29,47,47,47,47,25,9
3,31,39,48,9,29,29,29,19,33,8
4,32,40,49,1,9,9,9,40,21,20
5,33,41,50,44,1,50,50,6,38,25
6,1,31,51,45,24,51,51,43,47,50
7,2,32,30,10,4,30,48,32,19,16
8,3,42,52,48,5,20,49,12,40,33
9,4,43,15,49,44,42,30,13,22,21
10,5,33,39,11,19,27,20,29,52,14
11,6,1,16,12,40,1,25,9,15,51
12,7,44,17,13,45,24,33,50,37,38
13,8,45,18,50,41,4,21,16,23,48
14,9,46,19,51,10,5,22,14,6,45
15,10,2,40,30,48,44,46,51,43,47
16,11,3,41,14,49,19,2,48,32,19
17,12,4,31,34,25,40,35,49,28,40
18,13,5,32,52,26,6,42,30,39,42
19,14,6,20,15,31,43,27,34,7,27
20,34,47,42,39,11,14,1,17,46,22
21,35,48,43,46,32,34,24,18,2,52
22,36,49,33,2,12,52,4,36,35,15
23,37,50,21,35,13,15,5,3,12,1
24,38,51,22,16,50,39,26,20,13,41
25,39,52,23,17,51,45,31,25,29,10
26,40,15,7,18,30,41,11,33,9,49
27,41,16,8,36,20,10,44,21,8,30
28,42,17,9,3,42,48,19,22,50,37
29,43,18,1,37,27,49,40,52,16,23
30,44,19,44,38,6,25,6,15,14,6
31,45,20,45,24,43,33,43,37,51,43
32,46,21,10,4,14,21,32,23,48,34
33,47,22,11,5,34,22,12,28,45,17
34,48,23,12,19,52,46,13,39,42,32
35,49,7,13,40,15,2,16,7,27,28
36,50,8,14,41,39,35,14,46,1,39
37,51,9,34,25,33,26,34,2,41,7
38,52,10,46,26,21,31,17,35,10,18
39,15,11,2,31,22,11,18,8,49,36
40,16,12,35,32,46,32,36,45,30,24
41,17,13,36,20,2,12,3,42,34,4
42,18,14,3,42,35,13,52,27,17,5
43,19,34,37,27,16,16,15,1,18,46
44,20,35,38,6,17,17,37,41,36,2
45,21,36,24,43,18,18,23,10,24,26
46,22,37,4,33,36,36,28,24,4,3
47,23,38,5,21,3,3,39,4,5,31
48,24,24,25,22,37,37,7,5,26,35
49,25,25,26,23,23,23,8,26,3,12
50,26,26,27,28,28,28,45,31,31,13
51,27,27,6,7,7,7,41,11,11,11
52,28,28,28,8,8,8,10,44,44,44
