order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,15,12,12,12,20,20,20,24,38,38
2,2,15,39,40,12,23,23,20,24,31
3,4,1,27,22,43,9,51,23,20,48
4,23,20,9,37,40,12,39,1,13,30
5,6,25,52,6,19,43,41,25,40,50
6,51,2,30,38,22,33,50,45,7,24
7,3,8,15,51,26,40,3,51,21,3
8,5,4,1,39,24,5,9,39,23,37
9,16,23,20,3,25,19,12,18,1,20
10,10,33,43,27,37,11,43,46,15,13
11,39,21,24,31,34,22,17,41,35,40
12,30,13,25,35,14,16,33,31,25,7
13,24,22,34,9,6,26,13,50,45,36
14,34,6,2,11,38,52,40,3,44,42
15,17,51,8,52,2,24,15,37,5,21
16,45,3,17,18,48,25,44,34,51,23
17,40,41,4,30,8,45,5,28,39,34
18,31,42,46,41,51,18,29,9,32,22
19,35,26,28,15,39,37,19,12,2,1
20,11,14,23,42,3,34,11,14,18,15
21,18,5,33,1,17,14,36,43,46,28
22,49,16,45,49,44,6,42,49,41,9
23,19,50,21,20,29,38,22,6,29,35
24,7,36,13,43,4,21,16,17,19,25
25,32,10,40,19,27,2,4,33,11,16
26,12,39,22,26,46,48,26,38,31,12
27,1,27,37,24,31,30,52,13,48,45
28,20,9,6,25,28,8,27,40,30,8
29,25,52,38,34,35,51,24,7,50,44
30,8,30,51,14,23,39,1,21,3,5
31,33,43,3,2,9,41,25,15,37,47
32,21,24,31,48,33,50,45,35,36,14
33,13,34,35,8,5,3,18,44,42,51
34,22,17,11,17,11,17,46,5,34,39
35,41,46,18,44,16,13,31,32,22,43
36,42,28,41,29,52,15,37,2,28,4
37,26,45,42,4,45,44,34,29,9,32
38,14,40,49,46,18,29,28,19,16,2
39,50,37,19,28,21,36,14,11,12,49
40,36,38,26,23,30,42,49,48,8,6
41,27,31,14,33,41,4,6,30,47,18
42,9,35,48,5,50,27,38,36,14,46
43,52,11,44,16,13,1,7,42,43,41
44,43,18,29,45,15,46,21,22,4,29
45,46,49,5,21,36,31,35,16,49,17
46,28,19,16,50,42,28,32,8,6,26
47,37,48,50,13,1,49,2,47,17,52
48,38,44,36,36,49,7,48,4,26,27
49,48,29,7,7,7,35,30,26,52,19
50,44,7,32,32,32,32,8,52,27,11
51,29,32,47,47,47,47,47,27,33,33
52,47,47,10,10,10,10,10,10,10,10
