order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,1,36,36,40,40,40,34,48,48,48
2,25,1,7,36,17,18,40,34,8,17
3,2,12,30,7,20,17,3,38,4,11
4,3,25,1,9,36,43,18,42,34,26
5,26,13,19,30,6,20,17,40,35,41
6,4,2,12,47,7,49,1,3,38,8
7,27,37,43,1,37,36,43,5,19,15
8,5,3,25,22,9,8,10,18,42,4
9,28,38,31,19,50,6,21,17,6,45
10,6,14,13,48,30,25,20,45,40,34
11,29,26,32,12,47,7,49,1,25,1
12,7,39,2,27,3,15,22,9,3,16
13,30,4,44,43,1,37,36,43,46,35
14,31,40,20,49,21,14,24,44,23,28
15,32,27,37,25,22,5,8,10,31,38
16,8,15,3,15,19,45,19,21,30,9
17,33,5,21,5,51,9,6,12,5,19
18,9,16,38,31,41,50,25,20,13,42
19,34,28,8,13,48,31,46,49,18,43
20,10,17,14,32,38,30,23,22,51,29
21,11,6,45,34,12,13,51,50,7,44
22,35,41,26,10,27,11,7,36,17,6
23,36,29,46,23,29,26,41,27,11,40
24,12,18,39,2,18,47,15,24,26,10
25,13,42,4,44,43,32,52,8,41,21
26,37,7,33,16,49,34,37,4,15,25
27,38,30,40,28,8,3,14,35,45,3
28,14,19,9,17,25,1,2,19,1,12
29,39,43,27,20,15,10,39,6,16,20
30,40,31,22,6,14,21,48,25,28,49
31,15,32,48,37,5,22,38,46,9,22
32,16,44,47,50,45,24,42,23,43,33
33,17,20,49,3,31,19,5,31,29,50
34,41,21,15,21,13,46,45,30,44,46
35,18,8,5,51,11,23,9,13,10,23
36,42,45,34,41,26,51,44,51,21,36
37,19,46,10,38,32,41,12,7,12,52
38,43,33,23,29,34,52,50,11,20,37
39,44,9,16,18,10,2,27,26,49,47
40,20,47,28,8,24,39,4,41,22,31
41,21,22,17,14,46,48,35,15,33,30
42,45,48,6,45,23,38,31,16,50,5
43,46,49,50,11,52,42,30,28,36,13
44,47,34,51,26,2,44,13,29,52,14
45,22,10,41,24,39,12,11,33,37,2
46,48,23,29,46,42,27,26,52,47,27
47,49,50,18,52,44,4,16,37,14,24
48,23,51,11,39,4,35,28,47,2,32
49,50,11,24,42,35,16,29,14,27,18
50,51,24,52,4,16,28,33,2,24,51
51,24,52,42,35,28,29,47,32,32,39
52,52,35,35,33,33,33,32,39,39,7
