order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,29,29,4,4,17,17,17,17,22,40
2,30,30,35,35,18,18,18,18,19,36
3,1,14,29,29,47,47,47,47,17,3
4,31,1,30,25,6,46,30,30,18,25
5,32,15,44,26,7,36,49,49,47,41
6,2,16,14,30,4,12,44,44,30,22
7,3,31,45,44,35,6,39,39,28,19
8,33,17,1,14,29,7,50,1,49,17
9,34,18,15,3,25,4,33,50,51,18
10,4,19,46,41,19,40,46,33,14,47
11,35,32,5,42,32,2,36,43,44,30
12,5,2,16,45,48,35,34,29,24,28
13,6,3,31,1,26,29,12,46,39,49
14,7,41,17,43,30,25,6,36,15,51
15,8,42,18,15,49,8,22,25,32,14
16,9,43,47,46,44,37,51,13,1,2
17,10,33,6,36,39,19,14,34,7,11
18,36,20,7,37,51,32,7,12,50,16
19,37,21,19,11,14,48,4,9,4,44
20,11,34,32,5,3,26,40,20,33,24
21,38,22,48,50,41,11,3,8,43,31
22,39,23,49,33,42,21,41,37,48,39
23,12,4,24,16,45,5,16,27,29,15
24,40,35,2,31,1,30,31,6,46,13
25,13,44,8,20,43,49,2,22,10,34
26,14,45,9,27,28,44,35,19,23,32
27,15,46,10,38,24,39,42,28,40,1
28,16,5,25,17,15,50,45,51,36,2
29,17,47,26,18,46,33,1,14,3,35
30,18,6,3,47,36,34,43,24,25,12
31,19,7,41,6,12,22,29,15,41,9
32,41,48,42,7,40,51,25,32,26,7
33,42,49,43,19,2,14,13,7,11,50
34,43,24,36,32,8,3,9,4,16,42
35,20,8,37,48,37,41,20,48,31,20
36,21,9,11,49,11,16,8,10,13,4
37,22,10,50,39,21,31,51,23,34,33
38,23,25,33,51,5,42,27,40,2,8
39,44,26,20,28,50,45,19,3,35,37
40,45,36,27,24,33,1,28,41,12,21
41,46,37,38,12,34,43,24,26,9,43
42,47,11,39,40,22,13,15,11,42,5
43,48,50,51,2,16,9,32,16,20,48
44,49,27,28,8,31,20,48,31,8,27
45,24,38,12,21,13,51,10,2,37,6
46,25,39,40,34,9,28,23,35,21,29
47,26,51,21,22,20,24,26,42,5,46
48,50,28,34,13,27,15,11,21,27,45
49,27,12,22,9,10,10,21,5,6,10
50,51,40,13,10,23,23,5,45,45,52
51,28,13,23,23,52,52,52,52,52,38
52,52,52,52,52,38,38,38,38,38,23
