order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,26,12,18,18,18,52,21,21,21,35
2,27,26,33,6,6,32,23,23,5,21
3,28,13,12,14,14,15,44,47,23,51
4,29,41,26,2,2,42,52,30,47,15
5,1,27,13,36,41,18,32,4,30,5
6,2,42,5,21,27,6,33,44,10,26
7,30,43,19,33,9,43,15,2,37,23
8,3,28,34,12,36,14,34,8,9,3
9,31,29,41,7,21,20,42,13,4,19
10,4,44,27,30,23,28,12,52,18,47
11,32,1,48,26,33,2,18,32,44,30
12,33,14,49,15,12,8,48,33,16,49
13,5,2,42,8,48,13,6,41,2,14
14,34,30,43,13,49,41,43,22,48,10
15,35,15,20,22,7,22,45,35,6,37
16,6,16,28,5,47,35,38,51,43,34
17,36,3,35,37,30,50,49,15,8,50
18,7,45,50,16,4,27,14,26,13,1
19,8,46,29,3,26,29,20,34,52,39
20,37,31,44,19,52,5,7,50,32,9
21,38,47,51,34,32,10,28,1,33,4
22,39,4,1,45,15,37,47,39,46,18
23,9,32,6,38,42,9,30,27,17,27
24,10,17,14,39,43,16,4,29,45,44
25,40,18,2,46,20,3,2,42,38,16
26,11,33,36,31,28,19,8,12,41,20
27,12,5,21,41,8,36,13,5,22,31
28,13,19,7,27,13,40,41,10,35,36
29,41,34,30,9,22,21,22,37,51,7
30,42,48,15,23,35,23,35,9,15,2
31,43,49,8,48,50,44,51,18,26,48
32,44,20,22,49,29,33,26,16,3,29
33,14,35,37,47,5,34,50,48,19,6
34,15,50,16,4,10,12,1,6,49,43
35,16,51,3,52,37,48,39,43,14,42
36,45,6,45,32,16,45,27,46,34,8
37,46,36,38,42,3,38,29,17,50,13
38,47,21,39,43,19,49,5,45,1,12
39,17,7,46,20,40,7,10,38,39,52
40,18,8,31,28,44,47,37,3,27,32
41,19,22,9,35,34,30,9,19,20,33
42,48,37,23,50,45,4,16,49,31,46
43,49,38,47,29,38,51,46,14,36,17
44,20,39,4,10,51,26,17,20,7,45
45,50,9,52,40,1,1,3,31,29,38
46,51,23,32,44,39,39,19,36,42,41
47,21,52,10,51,46,46,31,7,12,22
48,22,10,40,1,17,17,36,28,28,28
49,23,40,17,17,31,31,24,24,24,24
50,52,24,24,24,24,24,11,11,11,11
51,24,11,11,11,11,11,25,25,25,25
52,25,25,25,25,25,25,40,40,40,40
