order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,27,16,16,16,16,16,16,16,16,16
2,28,27,48,31,24,5,5,51,39,39
3,1,41,9,44,31,24,47,5,28,41
4,29,28,27,48,44,30,9,47,38,28
5,2,42,35,50,18,31,24,9,32,22
6,30,1,41,39,48,10,25,37,51,38
7,3,17,10,9,21,28,30,24,19,50
8,31,29,28,4,50,44,1,35,27,32
9,4,18,42,27,36,12,4,25,5,51
10,32,2,1,20,39,18,31,6,15,46
11,5,43,11,35,15,22,3,14,44,19
12,6,30,17,14,2,48,10,30,47,23
13,33,19,23,32,9,21,7,1,13,11
14,7,3,29,41,4,51,28,50,9,27
15,34,31,18,5,7,37,38,42,12,5
16,8,44,36,10,27,50,27,4,37,20
17,9,4,2,28,49,42,44,31,26,15
18,35,20,49,51,20,36,12,43,24,33
19,10,32,43,42,40,8,45,36,34,44
20,11,5,30,1,35,39,49,3,35,42
21,36,45,12,45,14,19,18,10,45,47
22,12,6,37,11,43,15,22,8,25,13
23,37,46,19,17,32,13,11,7,49,4
24,13,33,13,6,34,2,20,52,6,9
25,38,21,3,46,41,47,48,39,14,12
26,39,7,38,23,5,9,21,28,18,29
27,14,34,31,33,30,25,17,38,30,48
28,15,22,44,29,10,1,40,32,2,37
29,40,8,50,24,28,4,51,19,1,21
30,16,47,39,18,12,3,37,27,41,26
31,41,48,4,21,22,7,35,15,22,17
32,42,9,20,36,51,38,6,44,50,24
33,17,35,14,15,37,27,14,13,46,34
34,18,10,32,2,42,45,50,12,23,31
35,43,11,5,7,8,49,42,26,11,35
36,19,23,51,49,19,11,43,34,20,43
37,44,36,45,40,13,20,36,45,33,36
38,20,49,6,43,47,17,8,49,42,45
39,45,12,46,34,25,40,52,18,4,25
40,46,37,33,30,1,35,39,2,29,49
41,21,13,24,12,3,6,32,41,48,3
42,22,38,21,22,38,14,19,22,21,10
43,47,50,15,37,45,43,15,46,17,8
44,48,39,7,8,11,52,13,23,31,6
45,23,14,40,19,17,32,26,11,43,14
46,49,51,34,13,6,26,34,20,36,18
47,50,24,22,47,52,34,2,33,3,30
48,51,15,8,25,26,41,41,29,10,7
49,24,40,47,3,46,46,46,48,8,52
50,25,25,25,38,23,23,23,21,7,2
51,52,52,52,52,33,33,33,17,52,40
52,26,26,26,26,29,29,29,40,40,1
